crd,primary_business_name,website
111685,"STEIGERWALD, GORDON & KOCH INC.",https://sgkwealthadvisors.com/
111740,ABUNDANCE WEALTH,https://abundancellc.com/
111814,LYNX INVESTMENT ADV.,https://www.lynxinvestment.com/
111819,MORLING FINANCIAL,https://morlingfinancialadvisors.com/
111838,TOLLESON PRIVATE WEALTH,https://tollesonwealth.com/
111846,"CONSULTIVA WEALTH MANAGEMENT, CORP.",https://consultiva.com/
111872,"KOSHINSKI ASSET MANAGEMENT, INC.-DBA IPI ASSET MANAGEMENT, INC.",https://koshinski.com/
111908,MONUMENT GROUP WM,https://www.monumentgroupwealth.com/
111950,"SHAKESPEARE WEALTH MANAGEMENT, LLC",https://shakespearewm.com/
112142,"STRATEGIC EQUITY MANAGEMENT, INC.",https://semwealth.com/
112158,PLANTE MORAN FIN.,https://www.plantemoran.com/services/wealth-management
112271,CHICAGO WEALTH MGMT,https://www.chicagowealthmanagementgroup.com/
112308,VAN DEN BERG MGMT I,https://centman.com/arnold-van-den-berg
112486,IAS WEALTH MGMT,https://www.iaswealth.com/
112552,FISHER INVESTMENTS,https://www.fisherinvestments.com/
112758,"SIGNATUREFD, LLC",https://signaturefd.com/
112778,"DINUZZO PRIVATE WEALTH, INC.",https://dinuzzo.com/
112879,"PLANNED FINANCIAL SERVICES, LLC",https://plannedfinancial.com/
112918,"CHANCELLOR WEALTH MANAGEMENT, INC.",https://chancellorwealth.com/
112973,"ACCESS WEALTH PLANNING, LLC",https://accesswealthplanning.com/
113007,"CTA WEALTH ADVISORS, INC.",https://ctafinancial.com/
113057,MISSION WEALTH MGMT,https://missionwealth.com/
113074,"ADVISORNET FINANCIAL, INC.",https://advisornet.com/
113217,PACIFIC WEALTH MGMT,https://pacwealth.com/
113563,QUANTUM FINANCIAL ADVISORS INC,https://quantumfinancial.org/
113715,STEVE LYNCH WEALTH,https://stevelynchwealth.com/
113761,WINDWARD PRIVATE WEALTH MANAGEMENT INC.,https://windwardwealth.com/
113784,"CAMARDA FINANCIAL ADVISORS , LLC",https://camarda.com/
113826,"ALLEGIANCE FINANCIAL GROUP, INC.",https://allegiancefinancial.com/
113908,"SPIRE WEALTH MANAGEMENT, LLC",https://spirewealthmanagement.com/
114097,"GLASS WEALTH MANAGEMENT CO., LLC",https://www.glasswealth.com/
114148,"DEW WEALTH MANAGEMENT, LLC",https://dewwealth.com/
114236,"VALUED RETIREMENTS, INC.",https://valuedretirements.com/
114431,LAUTERBACH FINANCIAL,https://lfa-ia.com/
114439,AMERICAN TRUST,https://americantrust.com/
114471,"BLUE ROCK WEALTH MANAGEMENT, LLC",https://bluerockwealth.com/
114539,CAPITAL ADVISORY GROUP,https://cagwm.com/
114629,MAIN STREET RESEARCH LLC,https://msresearch.com/
114702,"SCHUBERT & COMPANY, INC.",https://schubertcompany.com/
114801,ARLINGTON CAPITAL MGMT,https://arlingtoncapital.com/
114968,"ELEMENT WEALTH, LLC",https://elementwealth.com/
115046,"MASCAGNI WEALTH MANAGEMENT, INC.",https://mascagniwealth.com/
115332,"WAVERLY ADVISORS, LLC",https://waverly-advisors.com/
115489,"BCS FINANCIAL, LLC",https://bcswealth.com/
115511,HEATON HOPPES GROUP,https://cedarvalleywealth.com/
115645,MAROTTA ASSET MGMT,https://marottaonmoney.com/
115752,"STEVENS, FOSTER FINANCIAL SERVICES, INC.",https://stevensfoster.com/
115824,"AMERICAN FINANCIAL ADVISORS, LLC.",https://afadvisors.com/
115927,"B. RILEY WEALTH ADVISORS, INC.",https://brileywealth.com/
115948,"1 NORTH WEALTH SERVICES, LLC",https://1northwealthservices.com/
115969,BBJS FINANCIAL ADV.,https://bbjsadvisors.com/
116048,"TRUE NORTH ADVISORS, LLC",https://truenorthadvisors.com/
116091,JACKSON THORNTON,https://www.jacksonthornton.com/
116218,PBMARES WEALTH MGMT,https://pbmareswealth.com/
116251,"RAINEY & RANDALL INVESTMENT MANAGEMENT, INC.",https://raineyrandall.com/
116407,"WEALTH ENHANCEMENT ADVISORY SERVICES, LLC",https://www.wealthenhancement.com/
116515,BATES FINANCIAL ADV.,https://batesfinancialgroup.com/
116553,STAPP WEALTH MGMT,https://www.stappfinancial.com/
116604,MNS FINANCIAL MGMT,https://mnswealth.com/
116632,VAN HULZEN ASSET,https://vanhulzenadvisors.com/
116682,"BOONE WEALTH ADVISORS, LLC",https://boonewealth.com/
116690,"BENEDICT FINANCIAL ADVISORS, INC.",https://benedictfinancial.com/
116726,KIPLINGER INVESTMENT,https://kiplingerwealth.com/
116760,"BLUESKY WEALTH ADVISORS, LLC",https://blueskywa.com/
116763,ACORN FINANCIAL ADV.,https://acornfinancial.com/
116958,COMPREHENSIVE WEALTH,https://www.cwmnw.com/
117054,"JOHNSON INVESTMENT COUNSEL, INC.",https://www.johnsoninv.com/
117212,"HRC WEALTH MANAGEMENT, LLC",https://hrcfinancialgroup.com/
117442,FINANCIAL MGMT ADV.,http://www.financialmanagementadvisors.com/
117527,"SHANKERVALLEAU WEALTH ADVISORS, INC.",https://shankervalleau.com/
117627,SHIRA RIDGE WEALTH MANAGEMENT,https://shiraridge.com/
117737,MUSTARD SEED FINANCIAL,https://www.msfinancial.com/
117750,"SQUIRE INVESTMENT MANAGEMENT COMPANY, LLC",https://squirewealth.com/
117949,NOVARE CAPITAL MANAGEMENT,https://novarecapital.com/
118200,"DESMOND WEALTH MANAGEMENT, INC.",https://desmondwealth.com/
118261,DIVERSIFIED FINANCIAL,https://divfin.com/
118273,TRUENORTH FINANCIAL,https://www.truenorthwa.com/
118296,"CAPSTONE WEALTH MANAGEMENT, LLC",https://capstonewealth.com/
118319,"MINE & ARAO WEALTH CREATION AND MANAGEMENT, LLC",https://minearao.com/
118333,SILVERCREST ASSET MANAGEMENT GROUP LLC,https://www.silvercrestgroup.com/
118364,CASTLE WEALTH MANAGEMENT LLC,https://castlewm.com/
118412,PHOENIX WEALTH ADVISORS INC.,https://phoenixwealthadvisors.com/
118469,"LAUREL WEALTH ADVISORS, LLC",https://laurelwealthadvisors.com/
118496,"LARSEN, GLEN ALLEN",https://larsenwealth.com/
118614,WEALTHHARBOR CAPITAL,https://wealthharbor.com/
118643,CONCORD WEALTH PARTNERS,https://concordwealthpartners.com/
118788,TRICAPITAL WEALTH,https://www.tricapitalgroup.com/
118823,CAROLINA FINANCIAL,https://www.carolinafinancialadvisors.com/
118910,SANDERSON WEALTH,https://www.sandersonllc.com
119145,IVY LEAGUE FINANCIAL ADVISORS LLC,https://ivyleaguefinancial.com/
119239,"VERMILLION FINANCIAL ADVISORS, INC.",https://vermillionfinancial.com/
119290,BEACON POINTE ADVISORS,https://beaconpointe.com/
119467,CM WEALTH ADVISORS LLC,https://cmwealthadvisors.com/
119598,SAPERE WEALTH MGMT,https://www.sapere.com
119672,BEACON FINANCIAL ADV.,https://beaconfinancialadvisors.com/
119687,"DANIELS & ERICKSON FINANCIAL ADVISORS, LLC",https://danielserickson.com/
119759,"WILLIS JOHNSON & ASSOCIATES, INC.",https://wjwealth.com/
119829,AA FINANCIAL ADV.,https://www.antolino.com/
120139,THOMA CAPITAL MGMT,https://www.peakeadvisors.com
120141,GLASS JACOBSON,https://glassjacobson.com/
120286,"CLIENTFIRST WEALTH MANAGEMENT, LLC",https://clientfirstwm.com/
120358,"PREMIER WEALTH ADVISORS, LLC",https://pwausa.com/
120465,"ELIOT ROSE WEALTH MANAGEMENT, LLC",https://eliotrose.com/
120533,PATTON FUND MANAGEMENT,https://pattonfund.com/
120663,PARTNERS CAPITAL,https://partners-cap.com/
120823,PRIVATE WEALTH MGMT,https://pwm-inc.com/
120894,"GENEOS WEALTH MANAGEMENT, INC.",https://www.geneoswealth.com/
120938,TATE WEALTH MGMT,https://tatewealth.com/
120973,"PINKERTON WEALTH, LLC",https://pinkertonwealth.com/
121254,NFP RETIREMENT INC.,https://www.nfp.com/
121278,"HERGENROEDER FINANCIAL ADVISORS, INC.",https://hergenroeder.com/
